uid	name	tla	home_helmet	home_logo	home_shirt	home_sleeve	home_pants	home_stripe	home_socks1	home_socks2
0	Buffalo	BUF	$ffffff	$003087	$003087	$c8102e	$ffffff	$c8102e	$003087	$003087
1	Miami (FL)	MIA	$ffffff	$008c95	$008c95	$008c95	$ffffff	$008c95	$007e86	$007e86
2	Boston C	N.E	$8d9093	$0c2340	$0c2340	$c8102e	$0c2340	$FFFFFF	$e6e6e6	$0b203a
3	Syracuse	NYJ	$115740	$ffffff	$115740	$ffffff	$ffffff	$115740	$e6e6e6	$0f4e3a
4	Colorado	DEN	$0c2340	$ffffff	$fc4c02	$fc4c02	$ffffff	$0c2340	$e6e6e6	$0b203a
5	Kansas	K.C	$c8102e	$ffffff	$c8102e	$ffffff	$ffffff	$c8102e	$e6e6e6	$b40e29
6	UCLA	LAC	$ffffff	$ffb81c	$0072ce	$FFB81C	$ffffff	$ffb81c	$e6e6e6	$0072ce
7	UNLV	L.V	$87909a	$010101	$010101	$a2aaad	$a2aaad	$010101	$e6e6e6	$1a1a1a
8	Maryland	BAL	$010101	$24125f	$24125f	$010101	$ffffff	$24125f	$e6e6e6	$010101
9	Cincinnati	CIN	$dc4405	$010101	$010101	$dc4405	$ffffff	$dc4405	$010101	$010101
10	Ohio State	CLE	$eb3300	$eb3300	$321c00	$ffffff	$eb3300	$321c00	$e6e6e6	$d42e00
11	Pittsburgh	PIT	$010101	$ffffff	$010101	$FFB81C	$ffb81c	$010101	$e6e6e6	$1a1a1a
12	Houston	HOU	$091f2c	$a6192e	$091f2c	$a6192e	$ffffff	$091f2c	$e6e6e6	$081c28
13	Indiana	IND	$ffffff	$003a70	$003a70	$ffffff	$ffffff	$003a70	$e6e6e6	$003465
14	Florida	JAC	$010101	$8e7831	$006271	$010101	$010101	$010101	$006271	$006271
15	Tennessee	TEN	$0c2340	$418fde	$0c2340	$418fde	$0c2340	$0c2340	$0b203a	$0b203a
16	Texas	DAL	$87909a	$0c2340	$ffffff	$003087	$aecbd1	$003087	$e6e6e6	$002b7a
17	Duke	NYG	$003087	$ffffff	$003087	$003087	$FFFFFF	$a6192e	$e6e6e6	$003087
18	Penn State	PHI	$004851	$a4bcc2	$004851	$010101	$ffffff	$004851	$e6e6e6	$010101
19	Miami (OH)	WAS	$651C32	$FFB81C	$651C32	$FFB81C	$651C32	$651C32	$5b192d	$5b192d
20	Arizona	ARI	$ffffff	$9b2743	$9b2743	$ffffff	$9b2743	$FFFFFF	$e6e6e6	$8c233c
21	LSU	LAR	$1e22aa	$ffd100	$1e22aa	$FFD100	$FFD100	$1e22aa	$1b1f99	$1b1f99
22	Stanford	S.F	$89734c	$a6192e	$a6192e	$ffffff	$c6aa76	$a6192e	$e6e6e6	$951729
23	Washington	SEA	$0c2340	$7c878e	$0c2340	$78be21	$0c2340	$78be21	$e6e6e6	$0b203a
24	Illinois	CHI	$091f2c	$dc4405	$091f2c	$dc4405	$ffffff	$dc4405	$e6e6e6	$091f2c
25	Michigan St.	DET	$87909a	$0069b1	$0069b1	$a2aaad	$a2aaad	$0069b1	$e6e6e6	$005f9f
26	Georgia	G.B	$ffb81c	$183029	$183029	$ffb81c	$ffb81c	$183029	$e6e6e6	$162b25
27	Minnesota	MIN	$582c83	$ffffff	$582c83	$ffc72c	$ffffff	$582c83	$e6e6e6	$4f2876
28	Georgia Tech	ATL	$010101	$8d9093	$010101	$010101	$010101	$a6192e	$1a1a1a	$1a1a1a
29	NC State	CAR	$8d9093	$101820	$101820	$0085CA	$b2b4b2	$0085CA	$e6e6e6	$101820
30	Tulane	N.O	$a28d58	$010101	$010101	$d3bc8d	$010101	$010101	$1a1a1a	$1a1a1a
31	Florida St.	T.B	$433d37	$a6192e	$a6192e	$3d3935	$3d3935	$a6192e	$e6e6e6	$010101
